"ID_ejemplo","ID_area","ID_competencia","Idioma","Texto","Tipo"
1,1,1,"Español","Sabe que algunos de los contenidos en línea que aparecen en los resultados de la búsqueda pueden no ser de acceso libre o gratuito y pueden requerir el pago de una cuota o la suscripción a un servicio para poder acceder a ellos.","Conocimiento"
1,1,1,"Inglés","Knows that some online content in search result may not be open access or freely available and may require a fee or signing up for a service in order to access it.","Knowledge"
2,1,1,"Español","Es consciente de que los contenidos en línea que están a disposición de las personas sin coste monetario suelen pagarse con publicidad o mediante la venta de los datos del usuario.","Conocimiento"
2,1,1,"Inglés","Aware that online content that is available to users at no monetary cost is often paid for by advertising or by selling the user’s data.","Knowledge"
3,1,1,"Español","Es consciente de que los resultados de las búsquedas, los flujos de actividad en las redes sociales y las recomendaciones de contenidos en Internet están influenciados por una serie de factores. Estos factores incluyen los términos de búsqueda utilizados, el contexto (por ejemplo, la ubicación geográfica), el dispositivo (por ejemplo, un ordenador portátil o un teléfono móvil), la normativa local (que a veces dicta lo que puede o no puede mostrarse), el comportamiento de otros usuarios (por ejemplo, las búsquedas de tendencia o las recomendaciones) y el comportamiento anterior del usuario en Internet.","Conocimiento"
3,1,1,"Inglés","Aware that search results, social media activity streams and content recommendations on the internet are influenced by a range of factors. These factors include the search terms used, the context (e.g. geographical location), the device (e.g. laptop or mobile phone), local regulations (which sometimes dictate what can or cannot be shown), the behaviour of other users (e.g. trending searches or recommendations) and the user’s past online behaviour across the internet.","Knowledge"
4,1,1,"Español","Es consciente de que los motores de búsqueda, las redes sociales y las plataformas de contenidos suelen utilizar algoritmos de IA para generar respuestas adaptadas al usuario individual (por ejemplo, las personas siguen viendo resultados o contenidos similares). Esto a menudo se denomina “personalización”.","Conocimiento"
4,1,1,"Inglés","Aware that search engines, social media and content platforms often use AI algorithms to generate responses that are adapted to the individual user (e.g. users continue to see similar results or content). This is often referred to as “personalisation”.","Knowledge"
5,1,1,"Español","Es consciente de que los algoritmos de IA funcionan de manera que no suelen ser visibles o fáciles de entender para las personas. Esto se denomina a menudo “caja negra” en la toma de decisiones, ya que puede ser imposible rastrear cómo y por qué un algoritmo hace sugerencias o predicciones específicas.","Conocimiento"
5,1,1,"Inglés","Aware that AI algorithms work in ways that are usually not visible or easily understood by users. This is often referred to as “black box” decision-making as it may be impossible to trace back how and why an algorithm makes specific suggestions or predictions.","Knowledge"
6,1,1,"Español","Puede elegir el motor de búsqueda que más se ajuste a sus necesidades de información ya que distintos motores de búsqueda pueden ofrecer resultados diferentes incluso para la misma consulta.","Habilidades"
6,1,1,"Inglés","Can choose the search engine that most likely meets one’s information needs as different search engines can provide different results even for the same query.","Skills"
7,1,1,"Español","Sabe cómo mejorar los resultados de la búsqueda utilizando las funciones avanzadas de un motor de búsqueda (por ejemplo, especificando la frase exacta, el idioma, la región, la fecha de la última actualización).","Habilidades"
7,1,1,"Inglés","Knows how to improve search results by using a search engine’s advanced features (e.g. specifying exact phrase, language, region, date last updated).","Skills"
8,1,1,"Español","Sabe formular consultas de búsqueda para conseguir el resultado deseado al interactuar con agentes conversacionales o altavoces inteligentes (por ejemplo, Siri, Alexa, Cortana, Google Assistant), por ejemplo, reconociendo que, para que el sistema pueda responder como es debido, la consulta debe ser inequívoca y dictada con claridad para que el sistema pueda responder.","Habilidades"
8,1,1,"Inglés","Knows how to formulate search queries to achieve the desired output when interacting with conversational agents or smart speakers (e.g. Siri, Alexa, Cortana, Google Assistant), e.g. recognising that, for the system to be able to respond as required, the query must be unambiguous and spoken clearly so that the system can respond.","Skills"
9,1,1,"Español","Puede utilizar la información presentada en forma de hipervínculos, en forma no textual (por ejemplo, diagramas de flujo, mapas de conocimiento) y en representaciones dinámicas (por ejemplo, datos).","Habilidades"
9,1,1,"Inglés","Can make use of information presented as hyperlinks, in non-textual form (e.g. flowcharts, knowledge maps) and in dynamic representations (e.g. data).","Skills"
10,1,1,"Español","Desarrolla métodos de búsqueda eficaces para fines personales (por ejemplo, para consultar una lista de las películas más populares) y profesionales (por ejemplo, para encontrar anuncios de trabajo adecuados).","Habilidades"
10,1,1,"Inglés","Develops effective search methods for personal purposes (e.g. to browse a list of most popular films) and professional purposes (e.g. to find appropriate job advertisements).","Skills"
11,1,1,"Español","Sabe cómo manejar la sobrecarga de información y la “infodemia” (es decir, el aumento de información falsa o engañosa durante un brote de enfermedad) adaptando los métodos y estrategias de búsqueda personales","Habilidades"
11,1,1,"Inglés","Knows how to handle information overload and “infodemic” (i.e. increase of false or misleading information during a disease outbreak ) by adapting personal search methods and strategies.","Skills"
12,1,1,"Español","Evita intencionadamente las distracciones y pretende evitar la sobrecarga de información al acceder y navegar por la información, los datos y los contenidos.","Actitudes"
12,1,1,"Inglés","Intentionally avoids distractions and aims to avoid information overload when accessing and navigating information, data and content.","Attitudes"
13,1,1,"Español","Valora las herramientas diseñadas para proteger la privacidad de las búsquedas y otros derechos de las personas (por ejemplo, navegadores como DuckDuckGo).","Actitudes"
13,1,1,"Inglés","Values tools designed to protect search privacy and other rights of users (e.g. browsers such as DuckDuckGo).","Attitudes"
