"ID_ejemploUso","ID_competencia","ID_area","Idioma","Nivel","Escenario","Objetivo","Contexto","Texto"
1,1,1,"Español","1","Laboral","proceso de búsqueda de empleo","Con la ayuda de un orientador u orientadora laboral:","Puedo identificar, de una lista, aquellos portales de empleo que pueden ayudarme a buscar trabajo."
1,1,1,"Inglés","1","Employment","job seeking process","With help from an employment adviser","I can identify, from a list, those job portals which can help me look for a job."
2,1,1,"Español","1","Laboral","proceso de búsqueda de empleo","Con la ayuda de un orientador u orientadora laboral:","Puedo encontrar esos portales de empleo en la tienda de aplicaciones de mi teléfono inteligente, acceder y navegar entre ellos."
2,1,1,"Inglés","1","Employment","job seeking process","With help from an employment adviser","I can also find these job portals in my smartphone’s app store, and access and navigate between them."
3,1,1,"Español","1","Laboral","proceso de búsqueda de empleo","Con la ayuda de un orientador u orientadora laboral:","De una lista de palabras clave genéricas para la búsqueda de empleo disponibles en un blog con oportunidades laborales, también puedo identificar las palabras clave que son útiles para mi."
3,1,1,"Inglés","1","Employment","job seeking process","With help from an employment adviser","From a list of generic keywords for job seeking available in a blog on job hunting, I can also identify the keywords that are useful for me."
4,1,1,"Español","1","Formativo","Elaboración de un pequeño trabajo sobre un tema específico","Con la ayuda de mi profesor o profesora","Puedo identificar webs, blogs, y bases de datos digitales de una lista en mi libro de texto digital para buscar información para el tema de mi trabajo."
4,1,1,"Inglés","1","Learning","prepare group work with my classmates","With help from my teacher","I can identify websites, blogs and digital databases from a list in my digital textbook to look for literature on the report topic."
5,1,1,"Español","1","Formativo","Elaboración de un pequeño trabajo sobre un tema específico","Con la ayuda de mi profesor o profesora","Puedo identificar información sobre el tema de mi trabajo en estas páginas web, blogs y bases de datos digitales, acceder y navegar por ellas."
5,1,1,"Inglés","1","Learning","prepare group work with my classmates","With help from my teacher","I can also identify literature on the report topic in these websites, blogs and digital databases, and access and navigate among them."
6,1,1,"Español","1","Laboral","Elaboración de un pequeño trabajo sobre un tema específico","Con la ayuda de mi profesor o profesora","Mediante el uso de una lista de palabras clave genéricas y etiquetas disponibles en mi libro de texto digital, puedo identificar aquellas que son útiles para encontrar información para mi trabajo."
6,1,1,"Inglés","1","Employment","prepare group work with my classmates","With help from my teacher","Using a list of generic keywords and tags available in my digital textbook, I can also identify those which would be useful for finding literature on the report topic."
7,2,1,"Español","1","Formativo","proceso de búsqueda de empleo","Con la ayuda de un orientador u orientadora laboral:","Puedo identificar en una lista de portales y aplicaciones que un amigo ha encontrado en en el blog de la oficina de empleo, aquellas que se utilizan habitualmente por la fiabilidad y seriedad de las ofertas laborales que recogen."
7,2,1,"Inglés","1","Learning","job seeking process","With help from an employment adviser","I can identify in a list of job portals and apps a friend has found in an employment office’s blog, those that are commonly used because they have credible and reliable job offers."
8,2,1,"Español","1","Formativo","Elaboración de un pequeño trabajo sobre un tema específico","Con la ayuda de mi profesor o profesora:","Soy capaz de identificar, de una lista de blogs y bases de datos que aparece en mi libro de texto, aquellas que se utilizan habitualmente porque son fiables y serias."
8,2,1,"Inglés","1","Learning","prepare group work with my classmates","With help from my teacher","I can identify, from a list in my textbook of blogs and digital databases containing available literature, those that are commonly used because they are credible and reliable."
9,3,1,"Español","2","Laboral","proceso de búsqueda de empleo","En casa con mi hermana, a quien puedo preguntarle en cualquier momento:","Puedo identificar cómo y dónde organizar y guardar una lista de ofertas de trabajo de una app para la búsqueda de empleo (www.indeed.com) de mi teléfono inteligente para recuperarlas cuando las necesite en mi proceso de búsqueda de trabajo."
9,3,1,"Inglés","2","Employment","job seeking process","At home with my sister who I ask whenever I need","I can identify how and where to organise and keep track of job ads in a job app (e.g. www.indeed. com) of my smartphone in order to retrieve them when I need them along my job seeking."
10,3,1,"Español","2","Formativo","preparar el trabajo en grupo con mis compañeros y compañeras","En clase con mi profesor o profesora, a quien puedo consultar en cualquier momento:","Puedo identificar una aplicación en mi tablet para organizar y almacenar enlaces de aquellas páginas web, blogs y bases de datos digitales relacionadas con un tema específico y utilizarlo para recuperalas cuando las necesite para mi trabajo."
10,3,1,"Inglés","2","Learning","prepare group work with my classmates","In the classroom with my teacher who I can consult whenever I need","I can identify an app in my tablet to organise and store links to those websites, blogs and digital databases related with a specific topic of literature and use it to retrieve them when needed for my report."
11,1,2,"Español","3","Laboral","organizar un evento","Sin ayuda:","Puedo interactuar con los participantes y con otros compañeros de trabajo utilizando mi cuenta de correo electrónico corporativo a través de la aplicación de mi teléfono inteligente, para organizar un evento para mi empresa."
11,1,2,"Inglés","3","Employment","organise an event","By myself:","I can interact with participants and other colleagues using my corporate email account app on my smartphone in order to organise an event for my company."
12,1,2,"Español","3","Laboral","organizar un evento","Sin ayuda:","También puedo seleccionar las opciones disponibles en mi programa de correo electrónico para organizar el evento, por ejemplo, enviando invitaciones de calendario."
12,1,2,"Inglés","3","Employment","organise an event","By myself:","I can also select options available in my email suite to organise the event, such as sending calendar invitations."
13,1,2,"Español","3","Laboral","organizar un evento","Sin ayuda:","Puedo solucionar problemas como una dirección de correo electrónico errónea."
13,1,2,"Inglés","3","Employment","organise an event","By myself:","I can fix problems, e.g. an incorrect email address."
14,1,2,"Español","3","Formativo","Preparación de un trabajo en grupo con mis compañeros de clase","Sin ayuda:","Puedo utilizar un chat de uso común en mi teléfono inteligente (por ejemplo, facebook messenger o WhatsApp) para hablar con mis compañeros de clase y organizar el trabajo en grupo."
14,1,2,"Inglés","3","Learning","prepare group work with my classmates","By myself:","I can use a commonly-used chat on my smartphone (e.g. Facebook messenger or WhatsApp) to talk to my classmates and organise group work."
15,1,2,"Español","3","Formativo","Preparación de un trabajo en grupo con mis compañeros de clase","Sin ayuda:","Puedo elegir otro medio de comunicación digital en la tablet del aula (por ejemplo, el foro de mi aula) que puede ser útil para comentar los detalles de la organización del trabajo en grupo."
15,1,2,"Inglés","3","Learning","prepare group work with my classmates","By myself:","I can choose other digital communication means on the classroom tablet (e.g. my classroom forum) that could be useful to talk about the details of organising group work."
16,1,2,"Español","3","Formativo","Preparación de un trabajo en grupo con mis compañeros de clase","Sin ayuda:","Puedo solucionar problemas como añadir o eliminar miembros al grupo de chat."
16,1,2,"Inglés","3","Learning","prepare group work with my classmates","By myself:","I can fix problems such as adding or deleting members to the chat group."
17,2,2,"Español","4","Laboral","organizar un evento",,"Puedo utilizar el sistema de almacenamiento digital de mi empresa para compartir la agenda del evento con la lista de participantes que he creado en mi PC."
17,2,2,"Inglés","4","Employment","organise an event",,"I can use my company’s digital storage system to share the event’s agenda with the list of participants I created on my PC."
18,2,2,"Español","4","Laboral","organizar un evento",,"Puedo mostrar a mis colegas en sus teléfonos inteligentes cómo acceder y compartir la agenda utilizando el sistema de almacenamiento digital de mi organización."
18,2,2,"Inglés","4","Employment","organise an event",,"I can show my colleagues on their smartphones how to access and share the agenda using my organisation’s digital storage system."
19,2,2,"Español","4","Laboral","organizar un evento",,"Puedo mostrar a mi responsable ejemplos en su tableta de las fuentes digitales que utilizo para diseñar la agenda del evento."
19,2,2,"Inglés","4","Employment","organise an event",,"I can show my boss examples on her tablet of the digital sources I use to design the event’s agenda."
20,2,2,"Español","4","Laboral","organizar un evento",,"Puedo responder a cualquier cuestión mientras realizo estas actividades, como problemas inesperados al compartir la agenda con los participantes."
20,2,2,"Inglés","4","Employment","organise an event",,"I can respond to any issue while I am doing these activities, such as unexpected problems with sharing the agenda with the participants."
21,2,2,"Español","4","Formativo","preparar el trabajo en grupo con mis compañeros y compañeras",,"Puedo utilizar un sistema de almacenamiento basado en la nube (por ejemplo, Dropbox, Google Drive) para compartir material con otros miembros de mi grupo."
21,2,2,"Inglés","4","Learning","prepare group work with my classmates",,"I can use a cloud-based storage system (e.g. Dropbox, Google Drive) to share material with other members of my group."
22,2,2,"Español","4","Formativo","preparar el trabajo en grupo con mis compañeros y compañeras",,"Puedo explicar a otros miembros de mi grupo, utilizando el portátil de la clase, cómo comparto el material en el sistema de almacenamiento digital."
22,2,2,"Inglés","4","Learning","prepare group work with my classmates",,"I can explain to other members of my group, using the class laptop, how I share the material in the digital storage system."
23,2,2,"Español","4","Formativo","preparar el trabajo en grupo con mis compañeros y compañeras",,"Puedo mostrar a mi profesor o profesora, en su tableta, las fuentes digitales que utilizo para preparar el material para el trabajo en grupo."
23,2,2,"Inglés","4","Learning","prepare group work with my classmates",,"I can show my teacher, on her tablet, the digital sources I use to prepare the material for group work."
24,2,2,"Español","4","Formativo","preparar el trabajo en grupo con mis compañeros y compañeras",,"Mientras realizo estas actividades, puedo resolver cualquier cuestión que pueda surgir, como, por ejemplo, solucionar problemas de almacenamiento o compartir material con otros miembros de mi grupo."
24,2,2,"Inglés","4","Learning","prepare group work with my classmates",,"While I am doing these activities, I can solve any issue that may arise such as solving problems to do with storage or sharing material with other members of my group."
25,3,2,"Español","5","Laboral","organizar un evento",,"Puedo proponer y utilizar diferentes estrategias de medios de comunicación (por ejemplo, encuesta en FaceBook, hashtags en Instagram y Twitter) para capacitar a mis conciudadanos a participar en la definición de los temas principales de un evento sobre el"
25,3,2,"Inglés","5","Employment","organise an event",,"I can propose and use different media strategies (e.g. Survey on FaceBook, Hashtags on Instagram and Twitter) to empower the citizens of my city to participate in defining the main topics of an event on the use of sugar in food production."
26,3,2,"Español","5","Laboral","organizar un evento",,"Puedo informar a mis colegas sobre estas estrategias y mostrarles cómo utilizar una determinada para capacitar a la ciudadanía a participar."
26,3,2,"Inglés","5","Employment","organise an event",,"I can inform my colleagues about these strategies and show them how to use a particular one to empower citizens to participate."
